Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200395,Gits Idli 500G,1,0,,,,,20.01,1,3,2,1,1.5,2.49,1.59,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200396,Gits Upma 500G,1,0,,,,,20.01,1,4,2,1,1.5,2.49,1.59,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200397,Gits Dosa 200G,1,0,,,,,20.01,1,3,2,1,1.5,1.49,0.79,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200398,Maggie Atta Noodles 75G,1,0,,,,,20.01,1,8,2,1,1.5,0.5,0.35,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200399,Mtr Instant Upma 230G,1,0,,,,,20.01,1,6,2,1,1.5,2.49,1.6,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200400,SUVAI Vada Batter 500g,1,1,,,,,20.01,1,5,2,1,1.5,3.89,2.9,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200401,MTR Rava Idli Mix 500g,1,0,,,,,20.01,1,3,2,1,1.5,2.75,1.5,,"Breakfast, Instant Mix",
200402,Maggie Masala Noodles 70G,1,0,,,,,20.01,1,30,2,1,1.5,0.4,0.27,,"Breakfast, Sale",
200403,Shezan Jam Mango 370g,1,0,,,,,20.01,1,1,2,1,1.5,1.5,1.04,,"Breakfast, Sweets & Savouries > Chocolates",
200404,Desi S-Mart Groundnut Oil (C/Pressed & Filtered) 2Lt (1Lt X 2),1,0,,,,,20.01,1,155,2,1,1.5,9.49,7.24,,"Bulk Buy, Groceries > Ghees & Oils",
200405,Village Groundnut (Indian Peanuts) 2Kg (1Kg X 2),1,0,,,,,20.01,1,2,2,1,1.5,7.49,5.18,,"Bulk Buy, Groceries > Pulses & Dals",
200406,Desi S-Mart Mung Dal Split (Green Gram XXL Bean Size) 2Kg (1Kg X 2),1,0,,,,,20.01,1,42,2,1,1.5,4.99,3,,"Bulk Buy, Groceries > Pulses & Dals",
200407,Desi S-Mart Toor Dal (Kandipappu) 2Kg (1Kg X2),1,0,,,,,20.01,1,211,2,1,1.5,4.99,3.74,,"Bulk Buy, Groceries > Pulses & Dals",
